Scope
Manufacturer	Model
kiloHearts	com.kilohearts.TranceGate

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Resolution	0	6	Value	ValueOutput
Pattern	0	7	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Sustain	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Length 1	0	30	Value	ValueOutput
Length 2	0	30	Value	ValueOutput
Length 3	0	30	Value	ValueOutput
Length 4	0	30	Value	ValueOutput
Length 5	0	30	Value	ValueOutput
Length 6	0	30	Value	ValueOutput
Length 7	0	30	Value	ValueOutput
Length 8	0	30	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
