Scope
Manufacturer	Model
Softube	com.softube.re.Dynamite

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Det Source	0	2	Value	ValueOutput
Mode	0	2	Value	ValueOutput
Det Type	0	2	Value	ValueOutput
Range	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
