Scope
Manufacturer	Model
kiloHearts	com.kilohearts.LadderFilter

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Cutoff	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Topology	0	1	Toggle	ValueOutput
Saturate	0	1	Toggle	ValueOutput
Drive	0	4194304	Value	ValueOutput
Bias	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
