Scope
Manufacturer	Model
Ekssperimental Sounds	se.ekssperimentalsounds.SPACEXPANDER

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Low Pass Freq	0	4194304	Value	ValueOutput
High Pass Freq	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Filter Mode	0	1	Toggle	ValueOutput
Gain	0	4194304	Value	ValueOutput
Wet	0	4194304	Value	ValueOutput
Level	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
