Scope
Manufacturer	Model
kiloHearts	com.kilohearts.Compressor

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Ratio	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Mode	0	1	Toggle	ValueOutput
Makeup	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
