Scope
Manufacturer	Model
kiloHearts	com.kilohearts.Distortion

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Type	0	4	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Dynamics	0	4194304	Value	ValueOutput
Bias	0	4194304	Value	ValueOutput
Spread	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
