Scope
Manufacturer	Model
Turn2on Software	ru.turn2on.PhaseTool

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Soft Bypass	0	1	Toggle	ValueOutput
Stereo Width	0	4194304	Value	ValueOutput
Balance	0	4194304	Value	ValueOutput
Polarity Phase Invertor Mode	0	3	Value	ValueOutput
Swap Channels L/R	0	1	Toggle	ValueOutput
Gain Level	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
