Scope
Manufacturer	Model
Synapse Audio Software	com.synapseAudioSoftware.SynapsePhaser

Remotable	Min	Max	Input type	Output type
Phaser Frequency	0	4194304	Value	ValueOutput
Phaser Feedback	0	4194304	Value	ValueOutput
Spread	0	4194304	Value	ValueOutput
LFO Rate	0	4194304	Value	ValueOutput
LFO Rate (SYNC)	0	26	Value	ValueOutput
LFO Mod	0	4194304	Value	ValueOutput
Output Mix	0	4194304	Value	ValueOutput
Phaser Stages Switch	0	1	Toggle	ValueOutput
Lfo Tempo Sync On/Off	0	1	Toggle	ValueOutput
Enabled	0	2	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
