Scope
Manufacturer	Model
LoveOne	se.loveone.Neutron

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Hold	0	1	Toggle	ValueOutput
Emitter Size	0	4194304	Value	ValueOutput
Emitter Position	0	4194304	Value	ValueOutput
Emitter Spread	0	4194304	Value	ValueOutput
Emitter Pattern	0	2	Value	ValueOutput
Sync	0	8	Value	ValueOutput
Particle Pitch	0	4194304	Value	ValueOutput
Particle Pitch Semitones	0	24	Value	ValueOutput
Particle Pitch Type	0	1	Toggle	ValueOutput
Particle Type	0	5	Value	ValueOutput
Particle Lifetime	0	4194304	Value	ValueOutput
Filter Cutoff	0	4194304	Value	ValueOutput
Filter Resonance	0	4194304	Value	ValueOutput
DryWetMix	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
WetBoost	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
