Scope
Manufacturer	Model
Turn2on Software	ru.turn2on.BlueDepth

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Air Dry Level	0	4194304	Value	ValueOutput
Air Wet Level	0	4194304	Value	ValueOutput
Reflection	0	4194304	Value	ValueOutput
Regen (Blue Mix)	0	4194304	Value	ValueOutput
Parallel Level	0	4194304	Value	ValueOutput
Regen Wet Level	0	4194304	Value	ValueOutput
Regen Damping	0	4194304	Value	ValueOutput
Regen Oscillate Depth	0	7	Value	ValueOutput
Regen Post Level (Submersion Dry)	0	4194304	Value	ValueOutput
SizeConv	0	4194304	Value	ValueOutput
Submersion Depth	0	4194304	Value	ValueOutput
Submersion Pressure Feedback	0	4194304	Value	ValueOutput
Submersion Direction Finder	0	4194304	Value	ValueOutput
Submersion LowCut	0	4194304	Value	ValueOutput
Submersion Wet Level	0	4194304	Value	ValueOutput
Soft Bypass	0	1	Toggle	ValueOutput
Decay	0	4194304	Value	ValueOutput
Pre Delay	0	4194304	Value	ValueOutput
Air Mix	0	4194304	Value	ValueOutput
Tone	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
