Scope
Manufacturer	Model
Jiggery Pokery	com.jiggerypokery.Villanelle

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Envelope Follower	0	1	Toggle	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Depth	0	4194304	Value	ValueOutput
Dry Wet Amount	0	4194304	Value	ValueOutput
Wah-Wah	0	4194304	Value	ValueOutput
Wah Type	0	12	Value	ValueOutput
Colour	0	1	Toggle	ValueOutput
Mod Wheel Wah Override	0	1	Toggle	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Breath Control	0	127	Value	ValueOutput
Expression	0	127	Value	ValueOutput
Sustain Pedal	0	127	Value	ValueOutput
Aftertouch	0	127	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
