Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.ReasonBassAmp

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Amp Switch	0	2	Value	ValueOutput
Cab Switch	0	3	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Bass	0	4194304	Value	ValueOutput
Ultra Lo	0	1	Toggle	ValueOutput
Middle	0	4194304	Value	ValueOutput
Mid Freq	0	4	Value	ValueOutput
Treble	0	4194304	Value	ValueOutput
Ultra Hi	0	1	Toggle	ValueOutput
Volume	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
