Scope
Manufacturer	Model
FXpansion Audio UK Ltd.	com.fxpansion.DCAMChanComp

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Ratio	0	4	Value	ValueOutput
Bias	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Output Gain	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
