Scope
Manufacturer	Model
AirRaid Audio	ch.airraid.ESplitter

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Lo / Mid Crossover	0	4194304	Value	ValueOutput
Mid / Hi Crossover	0	4194304	Value	ValueOutput
Lo 24 dB X-Over	0	1	Toggle	ValueOutput
Hi 24 dB X-Over	0	1	Toggle	ValueOutput
Lo Band On	0	1	Toggle	ValueOutput
Lo Mute	0	1	Toggle	ValueOutput
Lo Solo	0	1	Toggle	ValueOutput
Lo Mid / Side	0	4194304	Value	ValueOutput
Lo Pan	0	4194304	Value	ValueOutput
Volume Lo	0	4194304	Value	ValueOutput
Mid Mute	0	1	Toggle	ValueOutput
Mid Solo	0	1	Toggle	ValueOutput
Mid Mid / Side	0	4194304	Value	ValueOutput
Mid Pan	0	4194304	Value	ValueOutput
Volume Mid	0	4194304	Value	ValueOutput
Hi Band On	0	1	Toggle	ValueOutput
Hi Mute	0	1	Toggle	ValueOutput
Hi Solo	0	1	Toggle	ValueOutput
Hi Mid / Side	0	4194304	Value	ValueOutput
Hi Pan	0	4194304	Value	ValueOutput
Volume Hi	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
