Scope
Manufacturer	Model
Lectric Panda LLC	com.lectricpanda.Janitor

Remotable	Min	Max	Input type	Output type
CV 1 Scale	0	508	Value	ValueOutput
CV 1 Offset	0	508	Value	ValueOutput
CV 1 Attack	0	998	Value	ValueOutput
CV 1 Decay	0	998	Value	ValueOutput
CV 2 Scale	0	508	Value	ValueOutput
CV 2 Offset	0	508	Value	ValueOutput
CV 2 Attack	0	998	Value	ValueOutput
CV 2 Decay	0	998	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
