Scope
Manufacturer	Model
Lectric Panda LLC	com.lectricpanda.Spektrum

Remotable	Min	Max	Input type	Output type
Enable	0	1	Toggle	ValueOutput
Falloff Rate	0	4194304	Value	ValueOutput
Vertical Zoom	0	4194304	Value	ValueOutput
Vertical Position	0	4194304	Value	ValueOutput
Horizontal Zoom	0	4194304	Value	ValueOutput
Horizontal Position	0	4194304	Value	ValueOutput
Color	0	359	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
