Scope
Manufacturer	Model
Enlightenspeed Ltd	uk.enlightenspeed.NoteHumanizer

Remotable	Min	Max	Input type	Output type
On/Off	0	1	Toggle	ValueOutput
Maximum Delay Time	0	20	Value	ValueOutput
Probability On Off	0	1	Toggle	ValueOutput
Probability	0	4194304	Value	ValueOutput
Note On Off	0	1	Toggle	ValueOutput
Note Range Low	0	4194304	Value	ValueOutput
Note Range High	0	4194304	Value	ValueOutput
Note Range Invert	0	1	Toggle	ValueOutput
Velocity On Off	0	1	Toggle	ValueOutput
Velocity Range Low	0	4194304	Value	ValueOutput
Velocity Range High	0	4194304	Value	ValueOutput
Velocity Range Invert	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
