Scope
Manufacturer	Model
Amaloo Studio, LLC	com.amaloostudio.EXP1

Remotable	Min	Max	Input type	Output type
Gain	0	4194304	Value	ValueOutput
Shift	0	4194304	Value	ValueOutput
Curve	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Input Source	0	4	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Expression	0	127	Value	ValueOutput
Breath Control	0	127	Value	ValueOutput
Aftertouch	0	127	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
