Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.Mimic

Remotable	Min	Max	Input type	Output type
Amp Gain 1	0	4194304	Value	ValueOutput
Amp Attack 1	0	4194304	Value	ValueOutput
Amp Decay 1	0	4194304	Value	ValueOutput
Amp Release 1	0	4194304	Value	ValueOutput
Filter Attack 1	0	4194304	Value	ValueOutput
Filter Decay 1	0	4194304	Value	ValueOutput
Filter Release 1	0	4194304	Value	ValueOutput
Filter Env 1	0	4194304	Value	ValueOutput
Effect Mix 1	0	4194304	Value	ValueOutput
Effect Mod 1	0	4194304	Value	ValueOutput
End Pos 1	0	4194304	Value	ValueOutput
Filter Freq 1	0	4194304	Value	ValueOutput
Filter Reso 1	0	4194304	Value	ValueOutput
Grain Len 1	0	4194304	Value	ValueOutput
LFO Rate 1	0	4194304	Value	ValueOutput
LFO Synced Rate 1	0	17	Value	ValueOutput
Loop Length 1	0	4194304	Value	ValueOutput
Pan 1	0	4194304	Value	ValueOutput
Pitch Semi 1	0	48	Value	ValueOutput
Reverse 1	0	1	Toggle	ValueOutput
Lo Cut 1	0	4194304	Value	ValueOutput
Hi Cut 1	0	4194304	Value	ValueOutput
Start Pos 1	0	4194304	Value	ValueOutput
Stretch Speed 1	0	4194304	Value	ValueOutput
Voice Formant 1	0	4194304	Value	ValueOutput
Amp Gain 2	0	4194304	Value	ValueOutput
Amp Attack 2	0	4194304	Value	ValueOutput
Amp Decay 2	0	4194304	Value	ValueOutput
Amp Release 2	0	4194304	Value	ValueOutput
Filter Attack 2	0	4194304	Value	ValueOutput
Filter Decay 2	0	4194304	Value	ValueOutput
Filter Release 2	0	4194304	Value	ValueOutput
Effect Mix 2	0	4194304	Value	ValueOutput
Effect Mod 2	0	4194304	Value	ValueOutput
End Pos 2	0	4194304	Value	ValueOutput
Filter Env 2	0	4194304	Value	ValueOutput
Filter Freq 2	0	4194304	Value	ValueOutput
Filter Reso 2	0	4194304	Value	ValueOutput
Grain Len 2	0	4194304	Value	ValueOutput
LFO Rate 2	0	4194304	Value	ValueOutput
LFO Synced Rate 2	0	17	Value	ValueOutput
Loop Length 2	0	4194304	Value	ValueOutput
Pan 2	0	4194304	Value	ValueOutput
Pitch Semi 2	0	48	Value	ValueOutput
Reverse 2	0	1	Toggle	ValueOutput
Lo Cut 2	0	4194304	Value	ValueOutput
Hi Cut 2	0	4194304	Value	ValueOutput
Start Pos 2	0	4194304	Value	ValueOutput
Stretch Speed 2	0	4194304	Value	ValueOutput
Voice Formant 2	0	4194304	Value	ValueOutput
Amp Gain 3	0	4194304	Value	ValueOutput
Amp Attack 3	0	4194304	Value	ValueOutput
Amp Decay 3	0	4194304	Value	ValueOutput
Amp Release 3	0	4194304	Value	ValueOutput
Filter Attack 3	0	4194304	Value	ValueOutput
Filter Decay 3	0	4194304	Value	ValueOutput
Filter Release 3	0	4194304	Value	ValueOutput
Effect Mix 3	0	4194304	Value	ValueOutput
Effect Mod 3	0	4194304	Value	ValueOutput
End Pos 3	0	4194304	Value	ValueOutput
Filter Env 3	0	4194304	Value	ValueOutput
Filter Freq 3	0	4194304	Value	ValueOutput
Filter Reso 3	0	4194304	Value	ValueOutput
Grain Len 3	0	4194304	Value	ValueOutput
LFO Rate 3	0	4194304	Value	ValueOutput
LFO Synced Rate 3	0	17	Value	ValueOutput
Loop Length 3	0	4194304	Value	ValueOutput
Pan 3	0	4194304	Value	ValueOutput
Pitch Semi 3	0	48	Value	ValueOutput
Reverse 3	0	1	Toggle	ValueOutput
Lo Cut 3	0	4194304	Value	ValueOutput
Hi Cut 3	0	4194304	Value	ValueOutput
Start Pos 3	0	4194304	Value	ValueOutput
Stretch Speed 3	0	4194304	Value	ValueOutput
Voice Formant 3	0	4194304	Value	ValueOutput
Amp Gain 4	0	4194304	Value	ValueOutput
Amp Attack 4	0	4194304	Value	ValueOutput
Amp Decay 4	0	4194304	Value	ValueOutput
Amp Release 4	0	4194304	Value	ValueOutput
Filter Attack 4	0	4194304	Value	ValueOutput
Filter Decay 4	0	4194304	Value	ValueOutput
Filter Release 4	0	4194304	Value	ValueOutput
Effect Mix 4	0	4194304	Value	ValueOutput
Effect Mod 4	0	4194304	Value	ValueOutput
End Pos 4	0	4194304	Value	ValueOutput
Filter Env 4	0	4194304	Value	ValueOutput
Filter Freq 4	0	4194304	Value	ValueOutput
Filter Reso 4	0	4194304	Value	ValueOutput
Grain Len 4	0	4194304	Value	ValueOutput
LFO Rate 4	0	4194304	Value	ValueOutput
LFO Synced Rate 4	0	17	Value	ValueOutput
Loop Length 4	0	4194304	Value	ValueOutput
Pan 4	0	4194304	Value	ValueOutput
Pitch Semi 4	0	48	Value	ValueOutput
Reverse 4	0	1	Toggle	ValueOutput
Lo Cut 4	0	4194304	Value	ValueOutput
Hi Cut 4	0	4194304	Value	ValueOutput
Start Pos 4	0	4194304	Value	ValueOutput
Stretch Speed 4	0	4194304	Value	ValueOutput
Voice Formant 4	0	4194304	Value	ValueOutput
Amp Gain 5	0	4194304	Value	ValueOutput
Amp Attack 5	0	4194304	Value	ValueOutput
Amp Decay 5	0	4194304	Value	ValueOutput
Amp Release 5	0	4194304	Value	ValueOutput
Filter Attack 5	0	4194304	Value	ValueOutput
Filter Decay 5	0	4194304	Value	ValueOutput
Filter Release 5	0	4194304	Value	ValueOutput
Effect Mix 5	0	4194304	Value	ValueOutput
Effect Mod 5	0	4194304	Value	ValueOutput
End Pos 5	0	4194304	Value	ValueOutput
Filter Env 5	0	4194304	Value	ValueOutput
Filter Freq 5	0	4194304	Value	ValueOutput
Filter Reso 5	0	4194304	Value	ValueOutput
Grain Len 5	0	4194304	Value	ValueOutput
LFO Rate 5	0	4194304	Value	ValueOutput
LFO Synced Rate 5	0	17	Value	ValueOutput
Loop Length 5	0	4194304	Value	ValueOutput
Pan 5	0	4194304	Value	ValueOutput
Pitch Semi 5	0	48	Value	ValueOutput
Reverse 5	0	1	Toggle	ValueOutput
Lo Cut 5	0	4194304	Value	ValueOutput
Hi Cut 5	0	4194304	Value	ValueOutput
Start Pos 5	0	4194304	Value	ValueOutput
Stretch Speed 5	0	4194304	Value	ValueOutput
Voice Formant 5	0	4194304	Value	ValueOutput
Amp Gain 6	0	4194304	Value	ValueOutput
Amp Attack 6	0	4194304	Value	ValueOutput
Amp Decay 6	0	4194304	Value	ValueOutput
Amp Release 6	0	4194304	Value	ValueOutput
Filter Attack 6	0	4194304	Value	ValueOutput
Filter Decay 6	0	4194304	Value	ValueOutput
Filter Release 6	0	4194304	Value	ValueOutput
Effect Mix 6	0	4194304	Value	ValueOutput
Effect Mod 6	0	4194304	Value	ValueOutput
End Pos 6	0	4194304	Value	ValueOutput
Filter Env 6	0	4194304	Value	ValueOutput
Filter Freq 6	0	4194304	Value	ValueOutput
Filter Reso 6	0	4194304	Value	ValueOutput
Grain Len 6	0	4194304	Value	ValueOutput
LFO Rate 6	0	4194304	Value	ValueOutput
LFO Synced Rate 6	0	17	Value	ValueOutput
Loop Length 6	0	4194304	Value	ValueOutput
Pan 6	0	4194304	Value	ValueOutput
Pitch Semi 6	0	48	Value	ValueOutput
Reverse 6	0	1	Toggle	ValueOutput
Lo Cut 6	0	4194304	Value	ValueOutput
Hi Cut 6	0	4194304	Value	ValueOutput
Start Pos 6	0	4194304	Value	ValueOutput
Stretch Speed 6	0	4194304	Value	ValueOutput
Voice Formant 6	0	4194304	Value	ValueOutput
Amp Gain 7	0	4194304	Value	ValueOutput
Amp Attack 7	0	4194304	Value	ValueOutput
Amp Decay 7	0	4194304	Value	ValueOutput
Amp Release 7	0	4194304	Value	ValueOutput
Filter Attack 7	0	4194304	Value	ValueOutput
Filter Decay 7	0	4194304	Value	ValueOutput
Filter Release 7	0	4194304	Value	ValueOutput
Effect Mix 7	0	4194304	Value	ValueOutput
Effect Mod 7	0	4194304	Value	ValueOutput
End Pos 7	0	4194304	Value	ValueOutput
Filter Env 7	0	4194304	Value	ValueOutput
Filter Freq 7	0	4194304	Value	ValueOutput
Filter Reso 7	0	4194304	Value	ValueOutput
Grain Len 7	0	4194304	Value	ValueOutput
LFO Rate 7	0	4194304	Value	ValueOutput
LFO Synced Rate 7	0	17	Value	ValueOutput
Loop Length 7	0	4194304	Value	ValueOutput
Pan 7	0	4194304	Value	ValueOutput
Pitch Semi 7	0	48	Value	ValueOutput
Reverse 7	0	1	Toggle	ValueOutput
Lo Cut 7	0	4194304	Value	ValueOutput
Hi Cut 7	0	4194304	Value	ValueOutput
Start Pos 7	0	4194304	Value	ValueOutput
Stretch Speed 7	0	4194304	Value	ValueOutput
Voice Formant 7	0	4194304	Value	ValueOutput
Amp Gain 8	0	4194304	Value	ValueOutput
Amp Attack 8	0	4194304	Value	ValueOutput
Amp Decay 8	0	4194304	Value	ValueOutput
Amp Release 8	0	4194304	Value	ValueOutput
Filter Attack 8	0	4194304	Value	ValueOutput
Filter Decay 8	0	4194304	Value	ValueOutput
Filter Release 8	0	4194304	Value	ValueOutput
Effect Mix 8	0	4194304	Value	ValueOutput
Effect Mod 8	0	4194304	Value	ValueOutput
End Pos 8	0	4194304	Value	ValueOutput
Filter Env 8	0	4194304	Value	ValueOutput
Filter Freq 8	0	4194304	Value	ValueOutput
Filter Reso 8	0	4194304	Value	ValueOutput
Grain Len 8	0	4194304	Value	ValueOutput
LFO Rate 8	0	4194304	Value	ValueOutput
LFO Synced Rate 8	0	17	Value	ValueOutput
Loop Length 8	0	4194304	Value	ValueOutput
Pan 8	0	4194304	Value	ValueOutput
Pitch Semi 8	0	48	Value	ValueOutput
Reverse 8	0	1	Toggle	ValueOutput
Lo Cut 8	0	4194304	Value	ValueOutput
Hi Cut 8	0	4194304	Value	ValueOutput
Start Pos 8	0	4194304	Value	ValueOutput
Stretch Speed 8	0	4194304	Value	ValueOutput
Voice Formant 8	0	4194304	Value	ValueOutput
Amp Sustain 1	0	4194304	Value	ValueOutput
Master Volume	0	4194304	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Tune 1	0	4194304	Value	ValueOutput
Portamento Rate 1	0	4194304	Value	ValueOutput
Key Mode 1	0	2	Value	ValueOutput
Portamento Mode 1	0	2	Value	ValueOutput
Pitchbend Range 1	0	24	Value	ValueOutput
Stretch Mode 1	0	4	Value	ValueOutput
LFO Beat Sync 1	0	1	Toggle	ValueOutput
LFO Wave 1	0	9	Value	ValueOutput
Amp Velocity 1	0	4194304	Value	ValueOutput
Filter Type 1	0	8	Value	ValueOutput
Filter Kbd 1	0	4194304	Value	ValueOutput
Filter Vel 1	0	4194304	Value	ValueOutput
Global Pos 1	0	1	Toggle	ValueOutput
Breath Control	0	127	Value	ValueOutput
Aftertouch	0	127	Value	ValueOutput
Expression	0	127	Value	ValueOutput
Sustain Pedal	0	127	Value	ValueOutput
Slice Sens 1	0	4194304	Value	ValueOutput
Play Mode	0	3	Value	ValueOutput
Algorithm	0	4194304	Value	ValueOutput
Transients On 1	0	1	Toggle	ValueOutput
Grain Overlap 1	0	4194304	Value	ValueOutput
Grain Spread 1	0	4194304	Value	ValueOutput
Grain Jitter 1	0	4194304	Value	ValueOutput
Loop On 1	0	1	Toggle	ValueOutput
Loop Xfade 1	0	4194304	Value	ValueOutput
LFO Key Sync 1	0	1	Toggle	ValueOutput
LFO Delay 1	0	4194304	Value	ValueOutput
Filter Sustain 1	0	4194304	Value	ValueOutput
Filter Mod 1	0	13	Value	ValueOutput
Filter Drive 1	0	4194304	Value	ValueOutput
Filter ModAmt 1	0	4194304	Value	ValueOutput
Pitch Mod 1	0	13	Value	ValueOutput
Pitch ModAmt 1	0	4194304	Value	ValueOutput
Pitch LFOAmt 1	0	4194304	Value	ValueOutput
Lo Key 1	0	127	Value	ValueOutput
