Scope
Manufacturer	Model
Speo	com.speomusic.Tribute

Remotable	Min	Max	Input type	Output type
Osc1 Level	0	4194304	Value	ValueOutput
Osc1 Pan	0	4194304	Value	ValueOutput
Osc1 Attack	0	4194304	Value	ValueOutput
Osc1 Release	0	4194304	Value	ValueOutput
Osc1 Octave	0	8	Value	ValueOutput
Osc1 Semi	0	24	Value	ValueOutput
Osc1 Cent	0	200	Value	ValueOutput
Osc1 Unison Voices	0	7	Value	ValueOutput
Osc1 Unison Detune	0	4194304	Value	ValueOutput
Osc1 Unison Spread	0	4194304	Value	ValueOutput
Osc1 Wavetable Position	0	4194304	Value	ValueOutput
Osc1 Outer FM	0	4194304	Value	ValueOutput
Osc1 Inner FM	0	4194304	Value	ValueOutput
Osc1 FM Position	0	4194304	Value	ValueOutput
Osc1 FM Ratio	0	4194304	Value	ValueOutput
Osc1 FM Ratio (Smooth)	0	4194304	Value	ValueOutput
Osc1 Squarify	0	1	Toggle	ValueOutput
Osc1 Smooth	0	1	Toggle	ValueOutput
Osc1 Enabled	0	1	Toggle	ValueOutput
Osc2 Level	0	4194304	Value	ValueOutput
Osc2 Pan	0	4194304	Value	ValueOutput
Osc2 Attack	0	4194304	Value	ValueOutput
Osc2 Release	0	4194304	Value	ValueOutput
Osc2 Octave	0	8	Value	ValueOutput
Osc2 Semi	0	24	Value	ValueOutput
Osc2 Cent	0	200	Value	ValueOutput
Osc2 Unison Voices	0	7	Value	ValueOutput
Osc2 Unison Detune	0	4194304	Value	ValueOutput
Osc2 Unison Spread	0	4194304	Value	ValueOutput
Osc2 Wavetable Position	0	4194304	Value	ValueOutput
Osc2 Outer FM	0	4194304	Value	ValueOutput
Osc2 Inner FM	0	4194304	Value	ValueOutput
Osc2 FM Position	0	4194304	Value	ValueOutput
Osc2 FM Ratio	0	4194304	Value	ValueOutput
Osc2 FM Ratio (Smooth)	0	4194304	Value	ValueOutput
Osc2 Squarify	0	1	Toggle	ValueOutput
Osc2 Smooth	0	1	Toggle	ValueOutput
Osc2 Enabled	0	1	Toggle	ValueOutput
Env1 Tempo Sync	0	1	Toggle	ValueOutput
Env1 Free Tempo	0	4194304	Value	ValueOutput
Env1 Synced Tempo	0	4194304	Value	ValueOutput
Env1 Attack Curve	0	4194304	Value	ValueOutput
Env1 Attack Curve S Form	0	1	Toggle	ValueOutput
Env1 Decay Curve	0	4194304	Value	ValueOutput
Env1 Decay Curve S Form	0	1	Toggle	ValueOutput
Env1 Attack/Decay Ratio	0	4194304	Value	ValueOutput
Env1 Hold	0	4194304	Value	ValueOutput
Env1 Fractal	0	4194304	Value	ValueOutput
Env1 Sustain Enabled	0	1	Toggle	ValueOutput
Env1 Sustain Position	0	4194304	Value	ValueOutput
