Scope
Manufacturer	Model
Blamsoft, Inc.	com.blamsoft.Expanse

Remotable	Min	Max	Input type	Output type
Compressor Attack	0	4194304	Value	ValueOutput
Compressor Enable	0	1	Toggle	ValueOutput
Compressor Input Gain	0	4194304	Value	ValueOutput
Compressor Knee	0	4194304	Value	ValueOutput
Compressor Mix	0	4194304	Value	ValueOutput
Compressor Output Gain	0	4194304	Value	ValueOutput
Compressor Ratio	0	4194304	Value	ValueOutput
Compressor Release	0	4194304	Value	ValueOutput
Compressor Threshold	0	4194304	Value	ValueOutput
Delay Enable	0	1	Toggle	ValueOutput
Delay Feedback	0	4194304	Value	ValueOutput
Delay Left Time	0	17	Value	ValueOutput
Delay Mix	0	4194304	Value	ValueOutput
Delay Mode	0	15	Value	ValueOutput
Delay Modulation Amount	0	4194304	Value	ValueOutput
Delay Modulation Rate	0	4194304	Value	ValueOutput
Delay Right Time	0	17	Value	ValueOutput
Delay Tone	0	4194304	Value	ValueOutput
Distortion 1 Amount	0	4194304	Value	ValueOutput
Distortion 1 Mode	0	6	Value	ValueOutput
Distortion 1 Tone	0	4194304	Value	ValueOutput
Distortion 1-2 Mix	0	4194304	Value	ValueOutput
Distortion 2 Amount	0	4194304	Value	ValueOutput
Distortion 2 Mode	0	6	Value	ValueOutput
Distortion 2 Tone	0	4194304	Value	ValueOutput
Distortion Enable	0	1	Toggle	ValueOutput
Distortion Mix	0	4194304	Value	ValueOutput
EQ Enable	0	1	Toggle	ValueOutput
EQ High Shelf Frequency	0	4194304	Value	ValueOutput
EQ High Shelf Gain	0	4194304	Value	ValueOutput
EQ Low Shelf Frequency	0	4194304	Value	ValueOutput
EQ Low Shelf Gain	0	4194304	Value	ValueOutput
EQ Midrange Frequency	0	4194304	Value	ValueOutput
EQ Midrange Gain	0	4194304	Value	ValueOutput
EQ Midrange Q	0	4194304	Value	ValueOutput
EQ Mix	0	4194304	Value	ValueOutput
Effects Selection	0	5	Value	ValueOutput
Phaser Enable	0	1	Toggle	ValueOutput
Phaser Feedback	0	4194304	Value	ValueOutput
Phaser Frequency	0	4194304	Value	ValueOutput
Phaser Mix	0	4194304	Value	ValueOutput
Phaser Modulation Rate	0	21	Value	ValueOutput
Phaser Modulation Shape	0	5	Value	ValueOutput
Phaser Modulation Stereo Offset	0	3	Value	ValueOutput
Phaser Number of Stages	0	6	Value	ValueOutput
Phaser Stereo Spread	0	4194304	Value	ValueOutput
Reverb Damping	0	4194304	Value	ValueOutput
Reverb Enable	0	1	Toggle	ValueOutput
Reverb Input Delay	0	4194304	Value	ValueOutput
Reverb Low Time	0	4194304	Value	ValueOutput
Reverb Low-Mid Crossover	0	4194304	Value	ValueOutput
Reverb Mid Time	0	4194304	Value	ValueOutput
Reverb Mix	0	4194304	Value	ValueOutput
Reverb Modulation Amount	0	4194304	Value	ValueOutput
Reverb Modulation Rate	0	4194304	Value	ValueOutput
Amp Envelope 1 Curve 1	0	4194304	Value	ValueOutput
Amp Envelope 1 Curve 2	0	4194304	Value	ValueOutput
Amp Envelope 1 Curve 3	0	4194304	Value	ValueOutput
Amp Envelope 1 Curve 4	0	4194304	Value	ValueOutput
Amp Envelope 1 Editor Loop End	0	99	Value	ValueOutput
