Scope
Manufacturer	Model
Murf	net.murf.reason.VCO1

Remotable	Min	Max	Input type	Output type
Octave	0	9	Value	ValueOutput
Semitone	0	12	Value	ValueOutput
Fine	0	4194304	Value	ValueOutput
PW	0	4194304	Value	ValueOutput
Level	0	4194304	Value	ValueOutput
FMAUINTRIM	0	4194304	Value	ValueOutput
PWCVINTRIM	0	4194304	Value	ValueOutput
PICVINTRIM	0	4194304	Value	ValueOutput
SWAD	0	1	Toggle	ValueOutput
SWDE	0	1	Toggle	ValueOutput
SWMI	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
