Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.DMFC

Remotable	Min	Max	Input type	Output type
Compressor_Ratio	0	4194304	Value	ValueOutput
Compressor_Threshold	0	4194304	Value	ValueOutput
Reverb_Decay	0	4194304	Value	ValueOutput
Reverb_HiCut	0	4194304	Value	ValueOutput
Reverb_LoCut	0	4194304	Value	ValueOutput
Delay_Time	0	12	Value	ValueOutput
Delay_Feedback	0	4194304	Value	ValueOutput
Master_Filter	0	4194304	Value	ValueOutput
Master_Pitch	0	4194304	Value	ValueOutput
Master_Delay	0	4194304	Value	ValueOutput
Master_Reverb	0	4194304	Value	ValueOutput
Master_Decay	0	4194304	Value	ValueOutput
Master_Distortion	0	4194304	Value	ValueOutput
Master_Volume	0	4194304	Value	ValueOutput
Drum_1_Volume	0	4194304	Value	ValueOutput
Drum_1_Mute	0	1	Toggle	ValueOutput
Drum_1_Solo	0	1	Toggle	ValueOutput
Drum_1_End	0	4194304	Value	ValueOutput
Drum_1_Release	0	4194304	Value	ValueOutput
Drum_1_Pitch	0	4194304	Value	ValueOutput
Drum_1_Delay_Amount	0	4194304	Value	ValueOutput
Drum_1_Reverb_Amount	0	4194304	Value	ValueOutput
Drum_1_Pan	0	4194304	Value	ValueOutput
Drum_1_Hi_Cut_Freq	0	4194304	Value	ValueOutput
Drum_1_Lo_Cut_Freq	0	4194304	Value	ValueOutput
Drum_1_Dist_Drive	0	4194304	Value	ValueOutput
Drum_2_Volume	0	4194304	Value	ValueOutput
Drum_2_Mute	0	1	Toggle	ValueOutput
Drum_2_Solo	0	1	Toggle	ValueOutput
Drum_2_End	0	4194304	Value	ValueOutput
Drum_2_Release	0	4194304	Value	ValueOutput
Drum_2_Pitch	0	4194304	Value	ValueOutput
Drum_2_Delay_Amount	0	4194304	Value	ValueOutput
Drum_2_Reverb_Amount	0	4194304	Value	ValueOutput
Drum_2_Pan	0	4194304	Value	ValueOutput
Drum_2_Hi_Cut_Freq	0	4194304	Value	ValueOutput
Drum_2_Lo_Cut_Freq	0	4194304	Value	ValueOutput
Drum_2_Dist_Drive	0	4194304	Value	ValueOutput
Drum_3_Volume	0	4194304	Value	ValueOutput
