Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.Algoritm

Remotable	Min	Max	Input type	Output type
Level 1	0	4194304	Value	ValueOutput
Level 2	0	4194304	Value	ValueOutput
Level 3	0	4194304	Value	ValueOutput
Level 4	0	4194304	Value	ValueOutput
Level 5	0	4194304	Value	ValueOutput
Level 6	0	4194304	Value	ValueOutput
Level 7	0	4194304	Value	ValueOutput
Level 8	0	4194304	Value	ValueOutput
Level 9	0	4194304	Value	ValueOutput
Vel 1	0	4194304	Value	ValueOutput
Vel 2	0	4194304	Value	ValueOutput
Vel 3	0	4194304	Value	ValueOutput
Vel 4	0	4194304	Value	ValueOutput
Vel 5	0	4194304	Value	ValueOutput
Vel 6	0	4194304	Value	ValueOutput
Vel 7	0	4194304	Value	ValueOutput
Vel 8	0	4194304	Value	ValueOutput
Vel 9	0	4194304	Value	ValueOutput
Freq 1	0	6400	Value	ValueOutput
Freq 2	0	6400	Value	ValueOutput
Freq 3	0	6400	Value	ValueOutput
Freq 4	0	6400	Value	ValueOutput
Freq 5	0	6400	Value	ValueOutput
Freq 6	0	6400	Value	ValueOutput
Freq 7	0	6400	Value	ValueOutput
Freq 8	0	6400	Value	ValueOutput
Freq 9	0	6400	Value	ValueOutput
Tune 1	0	100	Value	ValueOutput
Tune 2	0	100	Value	ValueOutput
Tune 3	0	100	Value	ValueOutput
Tune 4	0	100	Value	ValueOutput
Tune 5	0	100	Value	ValueOutput
Tune 6	0	100	Value	ValueOutput
Tune 7	0	100	Value	ValueOutput
Tune 8	0	100	Value	ValueOutput
Tune 9	0	100	Value	ValueOutput
Pan 1	0	4194304	Value	ValueOutput
Pan 2	0	4194304	Value	ValueOutput
Pan 3	0	4194304	Value	ValueOutput
Pan 4	0	4194304	Value	ValueOutput
Pan 5	0	4194304	Value	ValueOutput
Pan 6	0	4194304	Value	ValueOutput
Pan 7	0	4194304	Value	ValueOutput
Pan 8	0	4194304	Value	ValueOutput
Pan 9	0	4194304	Value	ValueOutput
Filter Env 1	0	4194304	Value	ValueOutput
Filter Env 2	0	4194304	Value	ValueOutput
Filter Env 3	0	4194304	Value	ValueOutput
Filter Env 4	0	4194304	Value	ValueOutput
Filter Env 5	0	4194304	Value	ValueOutput
Filter Env 6	0	4194304	Value	ValueOutput
Filter Env 7	0	4194304	Value	ValueOutput
Filter Env 8	0	4194304	Value	ValueOutput
Filter Env 9	0	4194304	Value	ValueOutput
Reso 1	0	4194304	Value	ValueOutput
Reso 2	0	4194304	Value	ValueOutput
Reso 3	0	4194304	Value	ValueOutput
Reso 4	0	4194304	Value	ValueOutput
Reso 5	0	4194304	Value	ValueOutput
Reso 6	0	4194304	Value	ValueOutput
Reso 7	0	4194304	Value	ValueOutput
Reso 8	0	4194304	Value	ValueOutput
Reso 9	0	4194304	Value	ValueOutput
Drive 1	0	4194304	Value	ValueOutput
Drive 2	0	4194304	Value	ValueOutput
Drive 3	0	4194304	Value	ValueOutput
Drive 4	0	4194304	Value	ValueOutput
Drive 5	0	4194304	Value	ValueOutput
Drive 6	0	4194304	Value	ValueOutput
Drive 7	0	4194304	Value	ValueOutput
Drive 8	0	4194304	Value	ValueOutput
Drive 9	0	4194304	Value	ValueOutput
ShaperMix 1	0	4194304	Value	ValueOutput
ShaperMix 2	0	4194304	Value	ValueOutput
ShaperMix 3	0	4194304	Value	ValueOutput
ShaperMix 4	0	4194304	Value	ValueOutput
ShaperMix 5	0	4194304	Value	ValueOutput
ShaperMix 6	0	4194304	Value	ValueOutput
ShaperMix 7	0	4194304	Value	ValueOutput
ShaperMix 8	0	4194304	Value	ValueOutput
ShaperMix 9	0	4194304	Value	ValueOutput
Symmetry 1	0	4194304	Value	ValueOutput
Symmetry 2	0	4194304	Value	ValueOutput
Symmetry 3	0	4194304	Value	ValueOutput
Symmetry 4	0	4194304	Value	ValueOutput
Symmetry 5	0	4194304	Value	ValueOutput
Symmetry 6	0	4194304	Value	ValueOutput
Symmetry 7	0	4194304	Value	ValueOutput
Symmetry 8	0	4194304	Value	ValueOutput
Symmetry 9	0	4194304	Value	ValueOutput
Wave Mod 1	0	4194304	Value	ValueOutput
Wave Mod 2	0	4194304	Value	ValueOutput
Wave Mod 3	0	4194304	Value	ValueOutput
Wave Mod 4	0	4194304	Value	ValueOutput
Wave Mod 5	0	4194304	Value	ValueOutput
Wave Mod 6	0	4194304	Value	ValueOutput
Wave Mod 7	0	4194304	Value	ValueOutput
Wave Mod 8	0	4194304	Value	ValueOutput
Wave Mod 9	0	4194304	Value	ValueOutput
Attack 1	0	4194304	Value	ValueOutput
Attack 2	0	4194304	Value	ValueOutput
Attack 3	0	4194304	Value	ValueOutput
Attack 4	0	4194304	Value	ValueOutput
Attack 5	0	4194304	Value	ValueOutput
Attack 6	0	4194304	Value	ValueOutput
Attack 7	0	4194304	Value	ValueOutput
Attack 8	0	4194304	Value	ValueOutput
Attack 9	0	4194304	Value	ValueOutput
Decay 1	0	4194304	Value	ValueOutput
Decay 2	0	4194304	Value	ValueOutput
Decay 3	0	4194304	Value	ValueOutput
Decay 4	0	4194304	Value	ValueOutput
Decay 5	0	4194304	Value	ValueOutput
Decay 6	0	4194304	Value	ValueOutput
Decay 7	0	4194304	Value	ValueOutput
Decay 8	0	4194304	Value	ValueOutput
Decay 9	0	4194304	Value	ValueOutput
Sustain 1	0	4194304	Value	ValueOutput
Sustain 2	0	4194304	Value	ValueOutput
Sustain 3	0	4194304	Value	ValueOutput
Sustain 4	0	4194304	Value	ValueOutput
Sustain 5	0	4194304	Value	ValueOutput
Sustain 6	0	4194304	Value	ValueOutput
Sustain 7	0	4194304	Value	ValueOutput
Sustain 8	0	4194304	Value	ValueOutput
Sustain 9	0	4194304	Value	ValueOutput
Release 1	0	4194304	Value	ValueOutput
Release 2	0	4194304	Value	ValueOutput
Release 3	0	4194304	Value	ValueOutput
