Scope
Manufacturer	Model
Synthetech Sound	au.com.synthetechsound.Spectra

Remotable	Min	Max	Input type	Output type
LFO1 WaveForm	0	11	Value	ValueOutput
LFO1 Rate	0	4194304	Value	ValueOutput
LFO1 Rate Sync	0	32	Value	ValueOutput
LFO1 Mode	0	5	Value	ValueOutput
LFO1 Sync	0	1	Toggle	ValueOutput
LFO1 Trigger	0	1	Toggle	ValueOutput
LFO1 Delay	0	4194304	Value	ValueOutput
LFO1 Delay Sync	0	33	Value	ValueOutput
LFO1 Fade	0	4194304	Value	ValueOutput
LFO1 Fade Sync	0	33	Value	ValueOutput
LFO2 WaveForm	0	11	Value	ValueOutput
LFO2 Rate	0	4194304	Value	ValueOutput
LFO2 Rate Sync	0	32	Value	ValueOutput
LFO2 Mode	0	5	Value	ValueOutput
LFO2 Sync	0	1	Toggle	ValueOutput
LFO2 Trigger	0	1	Toggle	ValueOutput
LFO2 Delay	0	4194304	Value	ValueOutput
LFO2 Delay Sync	0	33	Value	ValueOutput
LFO2 Fade	0	4194304	Value	ValueOutput
LFO2 Fade Sync	0	33	Value	ValueOutput
Gen1 On/Off	0	1	Toggle	ValueOutput
Gen1 Key Tracking	0	4194304	Value	ValueOutput
GEN1 Spectrum	0	61	Value	ValueOutput
Ring Depth	0	4194304	Value	ValueOutput
GEN1 Tuning Coarse	0	48	Value	ValueOutput
GEN1 Tuning Fine	0	4194304	Value	ValueOutput
GEN1 Level	0	4194304	Value	ValueOutput
GEN1 Pan	0	4194304	Value	ValueOutput
GEN1 Navigator	0	7	Value	ValueOutput
GEN1 Multi Sel	0	33	Value	ValueOutput
GEN1 Single Sel	0	63	Value	ValueOutput
GEN1 Morph1 Sel	0	63	Value	ValueOutput
GEN1 Morph2 Sel	0	61	Value	ValueOutput
GEN1 HEnvelope Sel	0	2	Value	ValueOutput
GEN1 XSynth Sel	0	2	Value	ValueOutput
GEN1 Multi Amt	0	4194304	Value	ValueOutput
GEN1 Single Amt	0	4194304	Value	ValueOutput
GEN1 Morph1 Amt	0	4194304	Value	ValueOutput
GEN1 Morph2 Amt	0	4194304	Value	ValueOutput
